Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,1st Lane,,8:34:13,Moderate (34 - 80 %),,,2 Lanes Two Way,8:34:11 AM Official Start
Vehicle,Go,2nd Lane,,8:34:35,Moderate (34 - 80 %),,,Overtake 'parked' car,2 Lanes Two Way
Vehicle,1 Lane Right,1st Lane,,8:35:06,Moderate (34 - 80 %),,,Moved to correct lane,
Passenger,Load,1st Lane,,8:35:16,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,8:35:30,Moderate (34 - 80 %),,,,
Passenger,Stop,1st Lane,,8:35:55,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,8:36:00,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,8:36:26,Moderate (34 - 80 %),,,Overtake 'parked' car,
Passenger,Load,1st Lane,,8:36:53,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,8:37:10,Full (81 - 100%),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,8:37:40,Full (81 - 100%),,,Overtake 'idle' car,
Passenger,Unload,1st Lane,,8:38:19,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,8:38:30,Full (81 - 100%),,,,
Stoplight,Stop,1st Lane,,8:40:00,Low (0 - 33 %),,,,Stop light
Passenger,Wait,1st Lane,,8:40:48,Low (0 - 33 %),,,Waiting for Passenger,
Vehicle,Go,1st Lane,,8:42:53,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,8:42:54,Low (0 - 33 %),,,,
Vehicle,2 Lane Left,3rd Lane,Sudden Acceleration,8:43:00,Low (0 - 33 %),,,Construction in 1st Lane (To the right most),
Vehicle,Stop,3rd Lane,,8:43:22,Low (0 - 33 %),,,,
Vehicle,Go,3rd Lane,,8:42:26,Low (0 - 33 %),,,,
Vehicle,Stop,3rd Lane,,8:43:39,Low (0 - 33 %),,,Vehicles in 2nd lane u turn,
Vehicle,Go,3rd Lane,,8:43:44,Low (0 - 33 %),,,,
Vehicle,Stop,3rd Lane,,8:43:56,Low (0 - 33 %),,,Vehicles in other side turning right to current side,
Vehicle,Go,3rd Lane,,8:44:03,Low (0 - 33 %),,,,
Vehicle,Stop,3rd Lane,,8:44:19,Low (0 - 33 %),,,,
Vehicle,Go,3rd Lane,,8:45:34,Low (0 - 33 %),,,,
Vehicle,1 Lane Right,1st Lane,,8:46:13,Low (0 - 33 %),,,,
Stoplight,Stop,1st Lane,,8:46:26,Low (0 - 33 %),,,Stopping often due to right most lane turning right,
Vehicle,Go,1st Lane,,8:48:00,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,8:48:16,Low (0 - 33 %),,,Vehicles in Right most lane for turning right,
Vehicle,Stop,1st Lane,Sudden Break,8:48:19,Low (0 - 33 %),,,Senior citizen pedestrian ,
Passenger,Load,1st Lane,,8:48:20,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,8:48:33,Moderate (34 - 80 %),,,,Inner left lane for bikes and vendors
Vehicle,Stop,1st Lane,,8:48:58,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,8:49:02,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,8:49:10,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,8:49:18,Full (81 - 100%),,,,
Vehicle,1 Lane Left,2nd Lane,,8:49:21,Full (81 - 100%),,,,
Passenger,Load,1st Lane,,8:49:29,Full (81 - 100%),,,,
