Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,Wait,1st Lane,,9:25:38,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:26:51,Low (0 - 33 %),,,,
Passenger,Load,1st Lane,,9:27:15,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:27:21,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:28:23,Low (0 - 33 %),,,Parked Car in 1st Lane,
Vehicle,1 Lane Right,1st Lane,,9:28:48,Low (0 - 33 %),,,,
Stoplight,Stop,1st Lane,,9:29:51,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:30:32,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:30:59,Low (0 - 33 %),,,No traffic,
Passenger,Load,1st Lane,,9:31:26,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:31:53,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,9:32:25,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:33:06,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,9:34:21,Moderate (34 - 80 %),,,Slow Tricycle in bike lane,
Vehicle,1 Lane Right,1st Lane,,9:34:23,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:35:03,Moderate (34 - 80 %),,,Taxi loading unloading in lane 1,
Vehicle,1 Lane Right,1st Lane,,9:35:05,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:35:36,Moderate (34 - 80 %),44,,No Traffic,
Vehicle,1 Lane Right,1st Lane,,9:36:26,Moderate (34 - 80 %),,,Merging 2 lanes to 3 lanes,
Stoplight,Stop,1st Lane,,9:37:06,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:37:56,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:38:18,Moderate (34 - 80 %),,,Moving to bike lane for loading,
Passenger,Load,1st Lane,,9:38:42,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:39:22,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:39:25,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,3rd Lane,,9:39:50,Moderate (34 - 80 %),,,Construction in lane1,
Vehicle,1 Lane Right,2nd Lane,,9:39:56,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,3rd Lane,,9:40:23,Moderate (34 - 80 %),,,,CUT?
