Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,1st Lane,,10:31:00,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,10:32:40,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,10:32:48,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,10:33:55,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,10:34:29,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,10:35:00,Moderate (34 - 80 %),,Traffic for vehicles u-turn,
Vehicle,Go,2nd Lane,,10:35:02,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,10:35:09,Full (81 - 100%),,Overtaking jeepney infront,
Vehicle,Go,2nd Lane,,10:35:13,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,10:35:44,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,10:35:57,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,10:36:47,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,10:37:04,Full (81 - 100%),,slow moving traffic,
Passenger,Load,2nd Lane,,10:37:33,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,10:37:40,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,10:38:14,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,10:38:21,Full (81 - 100%),,,
Stoplight,Stop,2nd Lane,,10:38:36,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,10:39:17,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,10:39:39,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,10:39:48,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,10:40:37,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,10:40:45,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,10:41:03,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,10:41:13,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,10:41:21,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,10:41:42,Moderate (34 - 80 %),,2 lanes to 3 lanes,
Passenger,Load,1st Lane,,10:41:50,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,10:41:57,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,10:42:00,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,10:42:06,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,10:42:15,Moderate (34 - 80 %),,3 lanes to 2 lanes,
Vehicle,Go,1st Lane,,10:54:27,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,10:54:56,Moderate (34 - 80 %),,Incoming traffic in intersection,
Vehicle,Go,1st Lane,,10:55:09,Moderate (34 - 80 %),,,
Vehicle,2 Lane Left,3rd Lane,,10:55:19,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,10:55:25,Moderate (34 - 80 %),,,
Vehicle,Stop,3rd Lane,,10:56:00,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,10:56:14,Moderate (34 - 80 %),,,
Stoplight,Stop,3rd Lane,,10:56:31,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,10:56:36,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,10:56:59,Moderate (34 - 80 %),,"Turned left, going to 1st lane",
Vehicle,Go,1st Lane,,10:57:29,Moderate (34 - 80 %),,CUT,
Vehicle,Go,2nd Lane,,11:03:34,Moderate (34 - 80 %),,4 lanes,
Vehicle,1 Lane Right,1st Lane,,11:04:07,Moderate (34 - 80 %),,less traffic,
Passenger,Unload,1st Lane,,11:04:22,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,11:04:26,Moderate (34 - 80 %),,,
Stoplight,Go,1st Lane,,11:04:43,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,11:04:49,Moderate (34 - 80 %),,Jeepney in lane 1 loading,
Stoplight,Stop,1st Lane,,11:17:04,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,11:17:13,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,11:18:48,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,11:19:15,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,11:20:03,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,11:20:08,Low (0 - 33 %),,,
