Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,1st Lane,,16:48,Low (0 - 33 %),,,jeep in front making a u-turn
Vehicle,Go,1st Lane,,16:50,Low (0 - 33 %),,,jeep starts roundtrip
Vehicle,Wait,1st Lane,,16:51,Low (0 - 33 %),,,jeep no passengers
Passenger,Load,1st Lane,,16:52,Low (0 - 33 %),,,jeep 2 passengers
Vehicle,Go,1st Lane,,16:52:20,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:52:30,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:52:55,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:53:10,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:53:40,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:53:55,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:54:00,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,16:54:35,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,16:54:36,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:54:50,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:55:50,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:56:00,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,16:57:10,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,16:57:15,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:57:19,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:57:40,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:57:50,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,16:59:20,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:01,Low (0 - 33 %),,,
Passenger,1 Lane Right,2nd Lane,,17:02,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,17:02,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,17:02,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,17:02,Low (0 - 33 %),,,
Vehicle,Wait,2nd Lane,,17:02,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,17:03:50,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,17:04,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:04:05,Moderate (34 - 80 %),,,resume trip
Vehicle,1 Lane Right,2nd Lane,,17:04:10,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:04:11,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,17:09:43,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:11:50,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,17:12,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Wait,2nd Lane,,17:12:46,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,17:12:50,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,17:13,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,17:13:05,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,17:13:34,Low (0 - 33 %),,,car blocking
Passenger,Load,2nd Lane,,17:13:40,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,17:14:40,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,17:15:15,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:17:26,Moderate (34 - 80 %),,,
Passenger,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,17:17:41,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:18,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,17:19,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,17:21:50,Moderate (34 - 80 %),,,Road construction
Passenger,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,17:22,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:31,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,17:31:50,Moderate (34 - 80 %),,,
