Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,1st Lane,,16:53:03,Low (0 - 33 %),,,start of trip
Vehicle,Stop,1st Lane,,,Low (0 - 33 %),,,car in front stopped
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,16:56:54,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:56:25,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:56:55,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,16:57:50,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,16:58:20,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:58:25,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:59:50,Low (0 - 33 %),,,car stopped
Vehicle,Go,1st Lane,,17:00:25,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,17:02:57,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,17:04:45,Low (0 - 33 %),,,
Passenger,Wait,2nd Lane,,17:04:52,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:05:09,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,17:05:57,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,17:06:00,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:07:00,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,17:07:25,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:09:10,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,17:09:30,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:11:43,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,17:12:00,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:12:08,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,17:13:18,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:13:46,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,17:14:25,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,17:15:11,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,17:15:16,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,,Moderate (34 - 80 %),,,
