Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,+,-,Remarks,
Passenger,Wait,1st Lane,,13:07:43,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:07:50,Low (0 - 33 %),,,,4,+4,,,
Vehicle,Go,1st Lane,,13:08:00,Low (0 - 33 %),2km/h,"slow movement, looking for passengers",,5,+1,,,25 max capacity
Vehicle,Stop,1st Lane,,13:08:38,Low (0 - 33 %),,,,,,,,0-9 passengers
Passenger,Load,1st Lane,,13:08:40,Low (0 - 33 %),,,,,,,,10-20 passengers
Vehicle,Go,1st Lane,,13:08:43,Low (0 - 33 %),,,,,,,,21-25 passengers
Vehicle,Stop,1st Lane,,13:09:07,Low (0 - 33 %),,,,,,,pedestrian moved in front,
Passenger,Load,1st Lane,,13:09:40,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,13:09:58,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:10:00,Low (0 - 33 %),,,,,,,car in front,
Passenger,Unload,1st Lane,,13:10:30,Low (0 - 33 %),,,,4,-1,,,
Vehicle,Go,1st Lane,,13:10:34,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:10:45,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:10:47,Low (0 - 33 %),,,,8,+4,,,
Vehicle,Go,1st Lane,Sudden Acceleration,13:11:31,Low (0 - 33 %),,,,,,,done loading,
Vehicle,Stop,1st Lane,,13:12:15,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:12:17,Low (0 - 33 %),10km/h,,,9,+1,,,
Vehicle,Go,1st Lane,,13:12:22,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:12:36,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:12:38,Moderate (34 - 80 %),,,,11,+2,,,
Vehicle,Go,1st Lane,,13:12:44,Moderate (34 - 80 %),,,,,,,done loading,
Vehicle,Stop,1st Lane,,13:13:28,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,13:13:30,Moderate (34 - 80 %),,,,12,+1,,,
Vehicle,Go,1st Lane,,13:13:37,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:14:58,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,13:15:00,Moderate (34 - 80 %),,,,13,+1,,,
Vehicle,Go,1st Lane,,13:15:05,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:15:15,Moderate (34 - 80 %),,,,,,,car in front sudden stop,
Vehicle,Go,1st Lane,,13:15:23,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,1st Lane,Sudden Acceleration,13:15:27,Moderate (34 - 80 %),,willing to overtake,car in front stalling,,,,,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,13:15:28,Moderate (34 - 80 %),,willing to overtake,car in front stalling,,,,"overtake, back to lane",
Vehicle,Stop,1st Lane,,13:15:31,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,Sudden Break,13:15:33,Moderate (34 - 80 %),,,,15,+2,,,
Vehicle,Go,1st Lane,,13:15:41,Moderate (34 - 80 %),14km/h,,,,,,ave speed increased after having a lot of passengers,
Vehicle,Go,1st Lane,Sudden Acceleration,13:16:21,Moderate (34 - 80 %),20km/h,,,16,+1,,only slows down because of speed bumps,
Vehicle,Stop,1st Lane,,13:17:10,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,Sudden Break,13:17:12,Moderate (34 - 80 %),,,,,,,,
Vehicle,Go,1st Lane,,13:17:21,Moderate (34 - 80 %),,,,,,,,
Stoplight,Stop,1st Lane,Sudden Break,13:17:55,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,13:18:00,Moderate (34 - 80 %),,,,15,-1,,,
Vehicle,Go,1st Lane,,13:19:18,Moderate (34 - 80 %),,,,,,,,
Passenger,Wait,1st Lane,,13:19:34,Moderate (34 - 80 %),,"slow moving while looking for passengers, there were passengers but none loaded",,,,,,
Vehicle,Go,1st Lane,,13:19:55,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:20:19,Moderate (34 - 80 %),,,,,,,traffic,
Vehicle,Go,1st Lane,,13:20:26,Moderate (34 - 80 %),,,,,,,,
