Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Passenger,Wait,1st Lane,,12:40:20,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,12:40:25,Low (0 - 33 %),,,,5,
Vehicle,Go,1st Lane,,12:43:01,Low (0 - 33 %),,,,,
Vehicle,Stop,1st Lane,,12:43:20,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,12:43:22,Low (0 - 33 %),,,,6,
Vehicle,Go,1st Lane,,12:43:45,Low (0 - 33 %),,,,,
Vehicle,Stop,1st Lane,,12:44:04,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,12:44:06,Moderate (34 - 80 %),,,,11,
Vehicle,Go,1st Lane,,12:44:24,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,12:44:40,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,12:44:42,Moderate (34 - 80 %),,,,9,
Vehicle,Go,1st Lane,,12:44:44,Moderate (34 - 80 %),4km/h,looking for passengers,,,
Vehicle,Stop,1st Lane,,12:44:51,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,12:44:53,Moderate (34 - 80 %),,,,11,
Vehicle,Go,1st Lane,,12:45:17,Moderate (34 - 80 %),4km/h,looking for passengers,,,
Vehicle,1 Lane Left,2nd Lane,,12:45:40,Moderate (34 - 80 %),,,parked vehicles at side,,
Vehicle,1 Lane Right,1st Lane,,12:45:57,Moderate (34 - 80 %),,,swerve back,,
Vehicle,Stop,1st Lane,,12:45:58,Moderate (34 - 80 %),,incoming traffic,,,
Vehicle,Go,1st Lane,,12:46:13,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,12:46:31,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,12:46:32,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,Sudden Acceleration,12:47:02,Moderate (34 - 80 %),23km/h,empty street,,,
Vehicle,Stop,1st Lane,Sudden Break,12:47:22,Moderate (34 - 80 %),,passenger at terminal,,,
Passenger,Load,1st Lane,,12:47:24,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,12:47:32,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,Sudden Break,12:48:53,Moderate (34 - 80 %),,passenger at terminal,,,
Passenger,Load,1st Lane,,12:48:54,Moderate (34 - 80 %),,,,15,
Vehicle,Go,1st Lane,,12:48:56,Moderate (34 - 80 %),10km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,12:49:33,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,12:49:35,Moderate (34 - 80 %),,overtake,,,
Vehicle,1 Lane Left,2nd Lane,,12:50:11,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,12:50:13,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,12:50:23,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,12:50:25,Moderate (34 - 80 %),,barangay drop off,,11,
Vehicle,Go,1st Lane,,12:50:44,Moderate (34 - 80 %),,,,,
Stoplight,Stop,1st Lane,,12:51:28,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,12:51:31,Low (0 - 33 %),,,,7,
Vehicle,Go,1st Lane,,12:51:57,Low (0 - 33 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,12:51:59,Low (0 - 33 %),,,overtake,,
Vehicle,1 Lane Right,1st Lane,,12:52:14,Low (0 - 33 %),,,,,
Vehicle,Stop,1st Lane,,12:52:16,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,12:52:18,Low (0 - 33 %),,,,8,
Vehicle,Go,1st Lane,,12:52:31,Low (0 - 33 %),,,,,
Vehicle,Go,2nd Lane,,12:52:35,Low (0 - 33 %),,,construction at 1st lane,,
Vehicle,Stop,2nd Lane,,12:52:45,Low (0 - 33 %),,,,,traffic
Vehicle,Go,2nd Lane,,12:53:16,Low (0 - 33 %),,,,,
Vehicle,Stop,2nd Lane,,12:53:30,Low (0 - 33 %),,,,,traffic
Vehicle,Go,2nd Lane,,12:54:14,Low (0 - 33 %),,,,,
Vehicle,1 Lane Right,1st Lane,,12:54:39,Low (0 - 33 %),,,"sudden swerve, unloading passenger",,
Vehicle,Stop,1st Lane,,12:54:44,Low (0 - 33 %),,,,,
Passenger,Unload,1st Lane,,12:54:46,Low (0 - 33 %),,,,7,
Vehicle,Go,1st Lane,,12:54:48,Low (0 - 33 %),,,,,
Vehicle,Stop,1st Lane,,12:54:53,Low (0 - 33 %),,crossing pedestrian,,,
Vehicle,Go,1st Lane,,12:54:58,Low (0 - 33 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,12:55:06,Low (0 - 33 %),,,,,
Vehicle,Stop,2nd Lane,,12:55:09,Low (0 - 33 %),,,,,traffic
Vehicle,Go,2nd Lane,,12:56:54,Low (0 - 33 %),,,,,
Vehicle,1 Lane Left,3rd Lane,,12:57:03,Low (0 - 33 %),,,jeep loading in front,,
Vehicle,1 Lane Right,2nd Lane,,12:57:06,Low (0 - 33 %),,,,,
Vehicle,1 Lane Right,1st Lane,,12:57:08,Low (0 - 33 %),,,passengers found,,
Vehicle,Stop,1st Lane,,12:57:15,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,12:57:17,Moderate (34 - 80 %),,,,12,
Vehicle,Go,1st Lane,,12:57:30,Moderate (34 - 80 %),,,,,
Stoplight,Stop,1st Lane,,12:57:45,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,12:59:30,Moderate (34 - 80 %),14km/h,,,,
Vehicle,Stop,1st Lane,Sudden Break,12:59:38,Moderate (34 - 80 %),,drop off,,,kalentong market
Passenger,Unload,1st Lane,,12:59:39,Moderate (34 - 80 %),,,,11,
Vehicle,Go,1st Lane,,13:00:05,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:00:09,Moderate (34 - 80 %),10km/h,,obstruction in 1st lane,,
Vehicle,Stop,2nd Lane,,13:00:43,Moderate (34 - 80 %),,car blocking road,,,
Vehicle,Go,2nd Lane,,13:01:05,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,13:01:19,Moderate (34 - 80 %),,found passengers at right,,,
Vehicle,Stop,1st Lane,,13:01:22,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:01:23,Moderate (34 - 80 %),,,,14,marketplace
Vehicle,Go,1st Lane,,13:01:32,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:01:56,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:01:57,Moderate (34 - 80 %),,,,12,
Passenger,Load,1st Lane,,13:01:57,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,13:02:18,Moderate (34 - 80 %),22km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,13:02:42,Moderate (34 - 80 %),,,car parked on road,,
Vehicle,Stop,2nd Lane,,13:02:53,Moderate (34 - 80 %),,,,,
Passenger,Unload,2nd Lane,,13:02:54,Moderate (34 - 80 %),,,,12,
Passenger,Load,2nd Lane,,13:02:54,Moderate (34 - 80 %),,,,13,
Vehicle,Go,2nd Lane,,13:02:58,Moderate (34 - 80 %),,,,,
Vehicle,Stop,2nd Lane,,13:03:08,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,2nd Lane,,13:03:39,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,3rd Lane,,13:03:40,Moderate (34 - 80 %),,,counterflow ovetake,,
Vehicle,Stop,1st Lane,,13:04:05,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:04:07,Moderate (34 - 80 %),,,,17,"new road, 1st lane"
Vehicle,Go,1st Lane,,13:04:17,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:04:30,Moderate (34 - 80 %),35km/h,,no reason,,
Vehicle,1 Lane Right,1st Lane,,13:04:50,Moderate (34 - 80 %),,slowed to 8km/h to scout for passengers,terminal,,
Vehicle,Stop,1st Lane,,13:05:30,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:05:32,Moderate (34 - 80 %),,,,16,hospital
Passenger,Load,1st Lane,,13:05:44,Moderate (34 - 80 %),,,,17,
Vehicle,Go,1st Lane,,13:06:05,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,Sudden Break,13:06:18,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:06:19,Moderate (34 - 80 %),,,,19,
Vehicle,Go,1st Lane,,13:06:24,Moderate (34 - 80 %),7km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,13:06:45,Moderate (34 - 80 %),,,stopped tricycle,,
Vehicle,1 Lane Right,1st Lane,,13:06:49,Moderate (34 - 80 %),,,merged back to previous lane,,
Vehicle,Stop,1st Lane,,13:08:00,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,13:08:03,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:08:15,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,13:08:41,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:09:09,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,13:09:14,Moderate (34 - 80 %),,,overtake,,
Vehicle,Stop,1st Lane,,13:09:30,Moderate (34 - 80 %),,,,,traffic
