Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,1st Lane,,15:49:30,Low (0 - 33 %),,,start of trip
Passenger,Wait,1st Lane,,15:50:10,Low (0 - 33 %),,,no passengers
Vehicle,Go,1st Lane,,15:50:20,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,15:50:47,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,15:52:38,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,15:55:34,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,15:56:30,Low (0 - 33 %),,,
Stoplight,Stop,2nd Lane,,15:56:54,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,15:57:07,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,15:57:20,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,15:57:51,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,15:59:20,Low (0 - 33 %),,,
Passenger,2 Lane Right,4th Lane,,,Low (0 - 33 %),,,
Passenger,Stop,4th Lane,,,Low (0 - 33 %),,,
Passenger,Load,4th Lane,,16:00:50,Low (0 - 33 %),,,
Vehicle,2 Lane Left,2nd Lane,,16:01:04,Low (0 - 33 %),,,
Passenger,2 Lane Right,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:01:22,Low (0 - 33 %),,,
Vehicle,Go,4th Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,4th Lane,,16:01:42,Low (0 - 33 %),,,
Vehicle,Go,4th Lane,,,Low (0 - 33 %),,,
Passenger,Stop,4th Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:04:48,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:05:01,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:05:07,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:05:29,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:06:10,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,16:06:35,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,16:06:50,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:07:02,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:07:26,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:07:51,Low (0 - 33 %),,,
Passenger,1 Lane Right,3rd Lane,,,Low (0 - 33 %),,,
Passenger,Wait,3rd Lane,,16:08:47,Low (0 - 33 %),,,
Vehicle,Go,3rd Lane,,16:08:48,Low (0 - 33 %),,,
Passenger,Stop,3rd Lane,,,Low (0 - 33 %),,,
Passenger,Load,3rd Lane,,16:08:56,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,16:08:59,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:10:29,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,16:10:49,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Passenger,1 Lane Right,1st Lane,,,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:11:12,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:11:30,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,16:11:49,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,16:11:53,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:12:06,Moderate (34 - 80 %),,,car jam
Vehicle,Go,1st Lane,,16:12:19,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:12:37,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,16:12:50,Moderate (34 - 80 %),,,car jam
Vehicle,Go,2nd Lane,,16:14:18,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,16:15:01,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,16:15:09,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,16:15:52,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,16:16:56,Moderate (34 - 80 %),,,
Vehicle,2 Lane Right,3rd Lane,,16:17:15,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:18:43,Moderate (34 - 80 %),,,car jam
Vehicle,Go,1st Lane,,16:18:49,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:20:55,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:21:47,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,car jam
Vehicle,Stop,1st Lane,,16:22:30,Moderate (34 - 80 %),,,car jam
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,16:23:00,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,16:23:33,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,16:23:45,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:24:35,Low (0 - 33 %),,,end of line (j posadas)
Passenger,Unload,1st Lane,,16:24:36,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,16:24:45,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:27:00,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:27:50,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,16:27:52,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:28,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,16:28:40,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,16:28:53,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,16:31:06,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,16:31:17,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,16:34:12,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,16:34:36,Moderate (34 - 80 %),,,car jam
Vehicle,Go,2nd Lane,,16:34:40,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,16:35:21,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,15:36:26,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,15:37:11,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,15:38:49,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,15:39:44,Moderate (34 - 80 %),,,
Passenger,1 Lane Right,3rd Lane,,16:40:10,Moderate (34 - 80 %),,,
Passenger,Stop,3rd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,3rd Lane,,16:40:36,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,,Moderate (34 - 80 %),,,
Vehicle,2 Lane Left,1st Lane,,16:40:50,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,16:41:25,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,16:44:12,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,16:44:29,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:44:58,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,16:45:09,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:45:24,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,16:45:30,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:46:00,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,16:47:06,Moderate (34 - 80 %),,,
Passenger,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,16:48:31,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,16:48:33,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:49:10,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:49:44,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:50:00,Low (0 - 33 %),,,
Vehicle,Go,3rd Lane,,16:51:30,Low (0 - 33 %),,,
Passenger,Wait,3rd Lane,,,Low (0 - 33 %),,,
Vehicle,Go,3rd Lane,,16:52:35,Low (0 - 33 %),,,
Vehicle,1 Lane Right,4th Lane,,,Low (0 - 33 %),,,
Passenger,Stop,4th Lane,,,Low (0 - 33 %),,,
Passenger,Unload,4th Lane,,,Low (0 - 33 %),,,
Vehicle,Go,4th Lane,,,Low (0 - 33 %),,,
Passenger,Stop,4th Lane,,,Low (0 - 33 %),,,
Passenger,Unload,4th Lane,,16:54:10,Low (0 - 33 %),,,
Vehicle,Go,4th Lane,,,Low (0 - 33 %),,,
Vehicle,2 Lane Left,2nd Lane,,16:54:30,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:54:45,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,16:56:14,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,16:57:25,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,16:58:10,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,16:58:21,Low (0 - 33 %),,,
Vehicle,2 Lane Right,3rd Lane,,16:58:45,Low (0 - 33 %),,,
Passenger,Stop,3rd Lane,,,Low (0 - 33 %),,,
Passenger,Load,3rd Lane,,16:58:55,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,17:00,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,17:01:01,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,,Low (0 - 33 %),,,
